CompanyName;OtherEntities
CloudMine, Inc.;Missing
CloudNine;Missing
Cmed Inc;Missing
CNH Industrial America LLC;CNH Industrial Capital America LLC
CNH Industrial America LLC;CNH Industrial Capital LLC
CNH Industrial America LLC;Fiat Powertrain Technologies of North America, Inc.
CNH Industrial America LLC;New Holland Credit Company LLC
CoachLogix;Missing
Cobalt Solutions, Inc.;Missing
Code42 Software, Inc.;Missing
Cogeco Peer 1;Missing
Coherent Inc.;Coherent Asia, Inc.
Coherent Inc.;Coherent International LLC
Coherent Inc.;Coherent Investments, Inc
Coherent Inc.;Coherent-DEOS LLC
Collaborative Solutions, LLC;Missing
Collective, Inc.;Collective, Inc.
Collective, Inc.;Compass IQ, Inc.
Collette Travel Services Inc;Missing
Colpitts World Travel;Missing
Column Technologies, Inc.;Column Information Security, LLC
Commerce Technologies, LLC dba CommerceHub;CommerceHub, Inc.
Commercial Services Group;Missing
CommercialTribe;Missing
Complete Discovery Source, Inc.;Missing
Compliance Discovery Solutions;Missing
Compliance Science, Inc.;Missing
ComplySci;Missing
Comprehend Systems;Missing
CompSight, LLC;Missing
CompuCom Systems, Inc.;Missing
Computer Services Inc. (CSI);CSI Regulatory Compliance Division
Comsim Inc;Datawise Services Inc
Comview Corporation;Missing
Concerto Cloud Services LLC;Missing
Concord III LLC;Missing
Conenza, Inc;Missing
ConeXware, Inc.;ConeXware, Inc.
ConeXware, Inc.;PowerArchiver
Confide;Missing
Configio;Configio
Confirmit, Inc. and its wholly owned subsidiary CustomerSat.com, Inc.;Confirmit, Inc.
Confirmit, Inc. and its wholly owned subsidiary CustomerSat.com, Inc.;CustomerSat.com, Inc.
ConnectYard Inc.;Missing
Consolidated Data Services;Missing
Constant Contact Inc;SinglePlatform
Contegix, LLC;Missing
ContextSmith, Inc.;ContextSmith, Inc.
ContractRoom;Missing
Control4 Corporation;Missing
Convercent;Missing
Converseon, Inc;Missing
Conversocial Inc.;Conversocial Inc.
Converus, Inc.;Missing
Cook MyoSite, Incorporated;Cook Research Incorporated
Cook Research Incorporated;Missing
Copyright Clearance Center, Inc.;Copyright Clearance Center, Inc.
Corax Cyber Security Inc.;Missing
Cordium;Missing
Core Services Corporation;Core Services Corporation
CORE Transport Technologies, Inc.;Missing
Coresecure, Inc;Coresecure, Inc
Corios LLC;Missing
Cornerstone OnDemand Inc.;Cornerstone OnDemand Inc.
Cornerstone Relocation Group;Missing
Corporate Intelligence Consultants Inc;Missing
Corporate Screening;Missing
Corporate Travel Management North America Inc.;All Performance Associates Inc.
Corporate Travel Management North America Inc.;Business Travel Inc.
Corporate Travel Management North America Inc.;Corporate Travel Management North America Inc.
Corporate Travel Management North America Inc.;SARA Enterprises Inc.
Corporate Travel Management North America Inc.;Travizon Inc.
Corporation Service Company;Corporation Service Company (Australia) Pty Limited
Corporation Service Company;Corporation Service Company (DBS) GmbH
Corporation Service Company;Corporation Service Company (Europe) Limited
Corporation Service Company;Corporation Service Company (HK) Ltd.
Corporation Service Company;Corporation Service Company (Netherlands) BV
Corporation Service Company;Corporation Service Company (UK) Limited
Corporation Service Company;Corptax Inc.
Corporation Service Company;CSC Corporate Domains (Canada) Company
Corporation Service Company;CSC Corporate Domains Inc.
Corporation Service Company;CSC Digital Brand Services (Spain) SL
Corporation Service Company;CSC Digital Brand Services Group AB
Corporation Service Company;CSC Digital Brand Services Limited
Corporation Service Company;CSC Digital Brand Services SAS
Corporation Service Company;CSC Entity Services LLC
Corporation Service Company;Delaware Trust Company
Corporation Service Company;eBrand Secure LLC
Corporation Service Company;IP Mirror Japan KK
Corporation Service Company;IP Mirror Malaysia Sdn Bhd
Corporation Service Company;IP Mirror Pte Ltd
Corporation Service Company;Koehler International Limited
Corporation Service Company;Koehler Management Consulting (Shanghai) Co Ltd
Corporation Service Company;Koehler Singapore Pte Ltd
Corporation Service Company;Tax Compliance Inc.
Corporation Service Company;The Company Corporation
Corptax, Inc.;Missing
Cortera, Inc.;Missing
Cost & Compliance Associates;Missing
Couchsurfing International Inc.;Missing
Coursera;Missing
Coveo;Coveo (Europe) B.V.
Coveo;Coveo Solutions Inc.
CPA Global;CPA Global (FIP) LLC
CPA Global;CPA Global (FTF), Inc.
CPA Global;CPA Global (Landon IP), Inc.
CPA Global;CPA Global North America LLC
CPA Global;CPA Global Services US Inc.
CPA Global;CPA Global Support Services LLC
CPA Global;CPA Software Solutions (North America) Limited
CPA Global;Innography, Inc.
CPA Global;Ipendo Inc.
CPP, Inc.;Missing
CQR Inc;Missing
CRA Assessments;Missing
Crane Co.;Barksdale, Inc.
Crane Co.;Crane Electronics, Inc.
Crane Co.;Crane Merchandising Systems, Inc.
Crane Co.;Crane Payment Innovations, Inc.
Crane Co.;ELDEC Corporation
Crane Co.;Hydro-Aire, Inc.
Crane Co.;MCC Holdings, Inc.
Crane Co.;Merrimac Industries, Inc.
Crane Co.;Xomox Corporation
Crashlytics, Inc.;Missing
Crate.io Inc.;Crate.io Inc.
Crater Group Co.;Crater Group Co.
Creative Services, Inc.;Missing
Credit Solutions International Co;Missing
CRF Inc;Missing
CRITERIA CORP;Missing
Critical Mix;Missing
Critical Research, Inc.;Missing
CrossCountry-Consulting;CrossCountry International
CrowdStrike;CrowdStrike Holdings, Inc.
CrowdStrike;CrowdStrike Services, Inc.
CrowdStrike;CrowdStrike, Inc.
Crowley Webb And Associates, Inc.;Praxis Communications, LLC
Crown Worldwide Group;Crown Fine Art
Crown Worldwide Group;Crown Records Management
Crown Worldwide Group;Crown Relocations
Crown Worldwide Group;Crown World Mobility
CSG International;CSG Interactive Messaging, Inc.
CSG International;CSG Systems International, Inc.
CSG International;CSG Systems, Inc.
CSG International;Intec Billing, Inc.
CSG Media LLC;Missing
CSIdentity Corporation;IdentityTruth, Inc.
CSR Professional Services, Inc.;Missing
CSS Inc.;Missing
CTSDatabase;Missing
Culinary Agents, Inc;Culinary Agents, Inc
Culinary Agents, Inc;Culinary Agents, LTD
Cultivist Inc.;Cultivist Inc.
Curo Group Holdings Corp.;Curo Financial Technologies Corp.
Curo Group Holdings Corp.;Curo Group Holdings Corp.
Curo Group Holdings Corp.;Curo Intermediate Holdings Corp.
Curo Group Holdings Corp.;Curo Management LLC
Curo Group Holdings Corp.;SRC Transatlantic Limited
Curo Group Holdings Corp.;Wage Day Advance Limited
CustomInsight, LLC;Missing
Cybercon;Missing
CyberGrants LLC;Missing
CYBERSCOUT;Cyber Claims 911 LLC
CYBERSCOUT;CyberScout Consulting LLC
Cylance Inc.;Missing
CyrusOne LLC;Missing
D4 LLC;Missing
Daniel J. Edelman Holdings, Inc.;Assembly Media
Daniel J. Edelman Holdings, Inc.;Daniel J. Edelman, Inc.
Daniel J. Edelman Holdings, Inc.;Edelman Miami Latin America Corp.
Daniel J. Edelman Holdings, Inc.;Edible, Inc.
Daniel J. Edelman Holdings, Inc.;First & 42nd, Inc.
Daniel J. Edelman Holdings, Inc.;StrategyOne, Inc. d/b/a Edelman Intelligence
Daniel J. Edelman Holdings, Inc.;The H & W Group, d/b/a Salutem
Daniel J. Edelman Holdings, Inc.;The K Group Public Relations Company, d/b/a Krispr Communications
Daniel J. Edelman Holdings, Inc.;The R Group Public Relations Company, d/b/a Revere
Daniel J. Edelman Holdings, Inc.;United Entertainment Group Holdings, LLC (UEG)
Daniel J. Edelman Holdings, Inc.;Zeno Group
Dante Labs Inc.;Missing
Data Intensity, LLC;Missing
Data Services, Inc.;International Market Link
Data Solutions International, Inc.;Missing
Data2Logistics, LLC;Data2Logistics Europe BV
Database Integrations;Missing
DATABASICS, Inc.;Missing
Datadog, Inc.;Missing
DataGravity;Missing
Datalex;Datalex Tokenization, Inc.
Datameer Inc;Missing
Datanyze, Inc.;Missing
Datapipe, Inc.;Datapipe Government Solutions, Inc.
Datapipe, Inc.;DualSpark Partners, LLC
Datapipe, Inc.;GoGrid, LLC
DataStar, Inc.;Missing
DATATRAK International Inc.;Missing
DataXu, Inc.;Missing
Datorama;Datorama, Inc.
DCR Workforce Inc.;Missing
DDB Worldwide Communications Group Inc.;Interbrand Corporation
DDB Worldwide Communications Group Inc.;TLP, Inc. (d/b/a Tracy Locke)
DDC;Missing
DDi;Missing
DDS;Missing
Decision Analyst, Inc.;American Consumer Opinion
Decision Analyst, Inc.;Contractor Advisory Board
Decision Analyst, Inc.;Executive Advisory Board
Decision Analyst, Inc.;Imaginators Panel
Decision Analyst, Inc.;Medical Advisory Board
Decision Analyst, Inc.;Nuance Coding
Decision Analyst, Inc.;Physicians Advisory Council
Decision Analyst, Inc.;Symmetric Sampling
Decision Analyst, Inc.;Technology Advisory Board
DecisionWise, LLC;Missing
Defined Benefit Services, LLC;Missing
Deloitte LLP;Deloitte LLP and its United States affiliates
Deloitte Touche Tohmatsu Services, Inc;Missing
Development Dimensions International;Missing
Dexcom, Inc.;SweetSpot Diabetes Care, Inc.
DHI Group, Inc.;Dice Career Solutions, Inc.
DHI Group, Inc.;Dice Inc.
DHI Group, Inc.;eFinancialCareers, Inc.
DHI Group, Inc.;OnTargetJobs, Inc.
DHI Group, Inc.;Rigzone.com, Inc.
DHISCO, Inc.;DHISCO Electronic Distribution, Inc.
DialogTech, Inc.;Mongoose Metrics, Inc.
Diamond Resorts Corporation;Missing
DigiCert, Inc.;DigiCert, Inc.
DigiPen Institute of Technology;DigiPen (USA) Corp
DigiPen Institute of Technology;DigiPen Housing LLC
DigiPen Institute of Technology;DigiPen Institute of Technology
Digital Measures, LLC;Missing
Digital Mountain, Inc.;Missing
DigitalOcean;DigitalOcean, LLC
Digitech Systems, LLC;Missing
Diligent Corporation;Missing
Dillistone Systems;Missing
Dimension Data CLM (Xigo LLC);Dimension Data CLM
Dimension Data CLM (Xigo LLC);Xigo LLC
Direct Services Miami, Inc.;Missing
Directions Research, Inc.;Directions Research, Inc.
DISA Global Solutions Inc;Missing
DiscoverReady LLC;Missing
Discuss.io;Discuss.io
Disruptor Beam;Missing
DiveShop360;Missing
Dixon Hughes Goodman LLP;Missing
DLVR, Inc.;Missing
DNAnexus, Inc.;Missing
Docebo NA, Inc.;Missing
doeLEGAL, Inc.;Missing
Domino�s Pizza LLC;Dominoâs Pizza Distribution LLC
Domino�s Pizza LLC;Dominoâs Pizza International Franchising, Inc.
Domino�s Pizza LLC;Dominoâs Pizza International Payroll Services, Inc.
Domo, Inc.;Domo, Inc. and its U.S. affiliated entities
dotmailer;Missing
Dovetail Software;Missing
Drift.com, Inc.;Drift.com, Inc.
Driscoll's, Inc.;Driscoll International, Inc.
DriveSavers Inc.;Missing
Dropbox, Inc.;Missing
DrugDev Inc;Clinical Financial Services, LLC
DrugDev Inc;Epernicus, LLC
Druva Inc.;Druva Data Solutions Private Limited
Druva Inc.;Druva Europe Limited
Druva Inc.;Druva G.K.
Druva Inc.;Druva Technologies Pte. Ltd
dscout, inc.;Missing
dstillery, Inc.;Missing
Duda, Inc.;Missing
Duff & Phelps LLC;American Appraisal Associates, LLC
Duff & Phelps LLC;Ceteris US, LLC
Duff & Phelps LLC;CounselWorks, LLC
Duff & Phelps LLC;Duff & Phelps Securities LLC
Duff & Phelps LLC;Duff & Phelps US LLP
Duff & Phelps LLC;Tregin Solutions, Inc.
Dufl, Inc;Missing
Dun & Bradstreet;Avention, Inc.
Dun & Bradstreet;Dun & Bradstreet Emerging Business Corporation
Dun & Bradstreet;Dun & Bradstreet NetProspex, Inc.
Dun & Bradstreet;Dun & Bradstreet, Inc.
Dun & Bradstreet;Hoover's Inc.
DVX, LLC;Missing
Dwellworks, LLC;DFA Intercultural Global Solutions, LLC
Dwellworks, LLC;Dwellworks Destination Services, LLC
Dwellworks, LLC;Dwellworks Destination Services, LLC
Dwellworks, LLC;Dwellworks Property Advising Services, Inc.
Dwellworks, LLC;Dwellworks Property Advisors, LLC
Dwellworks, LLC;Dwellworks Property Services, LLC
Dwellworks, LLC;Dwellworks Residential Services, LLC
Dynamic Network Services, Inc.;Missing
Dynamic Yield;Missing
Dynamo Software, Inc.;Missing
E-Fraud Security, LLC;Missing
E2open, LLC;E2open Development Corporation
E2open, LLC;Orchestro, LLC
E2open, LLC;Terra Technology, LLC
Easy Insight LLC;Easy Insight LLC
EasyMark LLC dba Digital Discovery;Missing
Eaton Corporation;Aeroquip International, Inc.
Eaton Corporation;Azonix Corporation
Eaton Corporation;Bussmann International Holdings, LLC
Eaton Corporation;Bussmann International, Inc.
Eaton Corporation;Cannon Technologies, Inc.
Eaton Corporation;CBE Services, Inc.
Eaton Corporation;Chagrin Highlands III Ltd.
Eaton Corporation;Cooper B-Line, Inc.
Eaton Corporation;Cooper Bussmann, LLC
Eaton Corporation;Cooper Crouse-Hinds MTL, Inc.
Eaton Corporation;Cooper Crouse-Hinds, LLC
Eaton Corporation;Cooper Electrical International, LLC
Eaton Corporation;Cooper Enterprises LLC
Eaton Corporation;Cooper Finance USA, Inc.
Eaton Corporation;Cooper Industries International, LLC
Eaton Corporation;Cooper Industries, LLC
Eaton Corporation;Cooper Interconnect, Inc.
Eaton Corporation;Cooper Lighting, LLC
Eaton Corporation;Cooper Notification, Inc.
Eaton Corporation;Cooper Power Systems, LLC
Eaton Corporation;Cooper Technologies Company
Eaton Corporation;Cooper Wheelock, Inc.
Eaton Corporation;Cooper Wiring Devices, Inc.
Eaton Corporation;Eaton (US) LLC
Eaton Corporation;Eaton Aeroquip LLC
Eaton Corporation;Eaton Aerospace LLC
Eaton Corporation;Eaton Ann Arbor LLC
Eaton Corporation;Eaton Asia Investments Corporation
Eaton Corporation;Eaton CHB LLC
Eaton Corporation;Eaton Electric Holdings LLC
Eaton Corporation;Eaton Energy Solutions, Inc.
Eaton Corporation;Eaton Holding II LLC
Eaton Corporation;Eaton Holding International LLC
Eaton Corporation;Eaton Holding LLC
Eaton Corporation;Eaton Hydraulics LLC
Eaton Corporation;Eaton Industrial Corporation
Eaton Corporation;Eaton International Corporation
Eaton Corporation;Eaton Leasing Corporation
Eaton Corporation;Eaton US Holdings, Inc.
Eaton Corporation;Eaton Worldwide LLC
Eaton Corporation;EIC Holding GP I
Eaton Corporation;EIC Holding GP II
Eaton Corporation;EIC Holding GP III
Eaton Corporation;EIC Holding GP IV
Eaton Corporation;EIC Holding I LLC
Eaton Corporation;EIC Holding II LLC
Eaton Corporation;EIC Holding III LLC
Eaton Corporation;EIC Holding IV LLC
Eaton Corporation;EIC Holding V LLC
Eaton Corporation;EIC Holding VI LLC
Eaton Corporation;Engineered Sintered Components Company, L.P.
Eaton Corporation;Ephesus Lighting, Inc.
Eaton Corporation;Illumination Management Solutions, Inc.
Eaton Corporation;Intelligent Switchgear Organization LLC
Eaton Corporation;McGraw-Edison Development Corporation
Eaton Corporation;MTL Instruments LLC
Eaton Corporation;MTL Partners II, Inc.
Eaton Corporation;MTL Partners, Inc.
Eaton Corporation;PKL, LLC
Eaton Corporation;RTK Instruments Limited Liability Company
Eaton Corporation;Standard Automation & Control LP
Eaton Corporation;Sure Power, Inc.
Eaton Corporation;U.S. Engine Valve
Eaton Corporation;Vickers International Inc.
Eaton Corporation;Viking Electronics, Inc.
Eaton Corporation;WPI-Boston Division, Inc.
Eaton Corporation;Wright Line Holding, Inc.
Eaton Corporation;Wright Line LLC
EBI Inc;Missing
EBSCO Industries, Inc.;DynaMed, LLC
EBSCO Industries, Inc.;EBSCO International, Inc.
EBSCO Industries, Inc.;EBSCO Publishing, Inc. dba EBSCO Information Services
EBSCO Industries, Inc.;Plastic Research and Development Corporation dba PRADCO Outdoor Brands
EBSCO Industries, Inc.;Summit Treestands, LLC
EBSCO Industries, Inc.;Yankee Book Peddler, Inc. dba GOBI Library Solutions from EBSCO
Echo360;Echo Government Solutions, LLC
Echo360;Echo360 Continuing Education, Inc. d/ba Astute Technologies
Echo360;Echo360 Holdings, Inc.
EchoSpan, Inc.;Missing
Ecolab Inc.;Calgon LLC
Ecolab Inc.;E&M Bio-Chemicals, LLC
Ecolab Inc.;Ecolab Food Safety Specialties Inc.
Ecolab Inc.;Ecolab USA Inc.
Ecolab Inc.;Four State Hygiene, Inc
Ecolab Inc.;Fresno Energy LLC
Ecolab Inc.;GCS Service, Inc.
Ecolab Inc.;Kay Chemical International Inc.
Ecolab Inc.;Microtek Medical Inc.
Ecolab Inc.;Nalco Cal Water LLC
Ecolab Inc.;Nalco Company LLC
Ecolab Inc.;Nalco Contract Operations, LLC
Ecolab Inc.;Nalco Crossbow Water LLC
Ecolab Inc.;Nalco Fab-Tech LLC
Ecolab Inc.;Nalco Industrial Outsourcing Company
Ecolab Inc.;Nalco Wastewater Contract Operations, Inc
Ecolab Inc.;Nanospecialties, LLC
Ecolab Inc.;Naperville Property L.P.
Ecolab Inc.;Ones West Africa LLC
Ecolab Inc.;Process Water One
Ecolab Inc.;Quantum Technical Services, LLC
Ecolab Inc.;Res-Kem General Water LLC
Ecolab Inc.;RES-KEM LLC
Ecolab Inc.;Sanolite Corporation
Ecolab Inc.;Service Michigan, LLC
Ecolab Inc.;Service Tampa, LLC
Ecolab Inc.;Swisher Hygiene Franchise Corp.
Ecolab Inc.;Swisher Hygiene USA Operations, Inc.
Ecolab Inc.;Swisher International, Inc.
Ecolab Inc.;SWSH Arizona Mfg, Inc.
Ecolab Inc.;SWSH Daley Mfg, Inc.
Ecolab Inc.;SWSH Mount Hood Mfg, Inc.
Ecolab Inc.;Two LLC
Ecolab Inc.;Wabasha Leasing LLC
EcoMetrix Solutions Group, LLC;The Gartrell Group, LLC
eCompanyStore, LLC;Missing
EcoVadis Inc.;EcoVadis Inc.
Ecwid Inc.;Missing
Edge Hosting, LLC;Edge Hosting, LLC
Edgewell Personal Care Company;Edgewell Personal Care Brands, LLC
Edgewell Personal Care Company;Edgewell Personal Care, LLC
Edgewell Personal Care Company;Playtex Manufacturing, Inc.
Edgewell Personal Care Company;Schick Manufacturing, Inc.
Edmodo;Missing
EduNeering Holdings, Inc.;LearnShare, L.L.C.
EduTone Corporation;EduTone Ukraine
Edwards Lifesciences;Edwards Lifesciences CardiAQ LLC
Edwards Lifesciences;Edwards Lifesciences Corporation
eePulse, Inc.;Missing
eGain Corporation;Missing
Egencia LLC (NV);Missing
Egenera Inc.;Missing
Egnyte, Inc.;Egnyte, Inc.
eGym, Inc.;Missing
EJ2 Communications, Inc.;Missing
Electronic Arts Inc.;EA Mobile (Canada Holdings) Inc.
Electronic Arts Inc.;PopCap Games, LLC
Electronic Theatre Controls, Inc.;Missing
Element Six;Element Six Technologies US Corporation
Element Six;Element Six US Corporation
Elementum;Missing
Elemica, Inc.;Elemica Holdings, Inc.
Elemica, Inc.;Elemica International, Inc.
Elemica, Inc.;Elemica Parent, Inc.
Eli Lilly and Company;All other wholly owned subsidiaries
Eli Lilly and Company;Elanco
Elijah LTD;Missing
Ellucian Company L.P.;Ellucian Assistance Inc.
Ellucian Company L.P.;Ellucian Inc.
Ellucian Company L.P.;Ellucian Support Inc.
eMag Solutions, LLC;eMag Solutions, Ltd.
Emailage Corp.;Missing
EmailOpen;EmailOpen
Emergenetics International;STEP, LLC
EmeSec;Missing
EML Payments USA, LLC;Missing
Emma, Inc;Missing
EmpiriStat, Inc.;Missing
Employment Screening Resources;Missing
Employment Screening Services, Inc.;Missing
Endeavor DNA, Inc.;Missing
ENDPOINT CLINICAL INC.;Missing
EnerNOC, Inc.;Missing
eNeura Inc.;eNeura (UK) Ltd
ENFOS, Inc.;Missing
Engaged MD, LLC;Missing
Ensono;Missing
ENTANDO INC.;Entando Srl
Enterprise Health;Medical Informatics Engineering
Enterprise Holdings, Inc.;Missing
Entertainment Partners;Entertainment Partners, LLC
Envision Pharma Group;Alligent Biopharm Consulting LLC
Envision Pharma Group;ARCoalition LLC
Envision Pharma Group;Engage Scientific Solutions Inc.
Envision Pharma Group;Envision Pharma Acquisition Inc.
Envision Pharma Group;Evidence Scientific Solutions Inc.
Envision Pharma Group;Excel Scientific Solutions Inc
Envision Pharma Group;Tyrol US Holdco Inc.
ePath Learning, Inc.;Missing
Epignosis LLC;TalentLMS
Epiq Systems, Inc.;De Novo Legal LLC
Epiq Systems, Inc.;Encore Legal Solutions, Inc.
Epiq Systems, Inc.;Epiq Bankruptcy Solutions, LLC
Epiq Systems, Inc.;Epiq Class Action & Claims Solutions, Inc.
Epiq Systems, Inc.;Epiq eDiscovery Solutions, Inc.
Epiq Systems, Inc.;Epiq Information Technology (Shanghai) Company Limited
Epiq Systems, Inc.;Epiq Systems Acquisition, Inc.
Epiq Systems, Inc.;Epiq Systems Canada, Inc.
Epiq Systems, Inc.;Epiq Systems Germany GmbH
Epiq Systems, Inc.;Epiq Systems Godo Kaisha
Epiq Systems, Inc.;Epiq Systems Holding B.V.
Epiq Systems, Inc.;Epiq Systems Poland sp. z.o.o.
Epiq Systems, Inc.;Epiq Systems, Inc.
Epiq Systems, Inc.;Epiq Systems, Limited
Epiq Systems, Inc.;Epiq Systems, Ltd.
Epiq Systems, Inc.;Epiq Technology, LLC
Epiq Systems, Inc.;Hilsoft, Inc.
Epiq Systems, Inc.;Indiris Data Services Private Limited
Epiq Systems, Inc.;Iris Data Services, Inc.
EPM Live, Inc.;Missing
Epoch.com, LLC;Missing
Equus Software, LLC.;Missing
Erebus LLC;Missing
eReinsure.com, Inc.;Missing
ErgMAPS Inc;Missing
Ernst & Young LLP;1.	Ernst & Young U.S. LLP
Ernst & Young LLP;2.	Ernst & Young Capital Advisors, LLC
Ernst & Young LLP;3.	Ernst & Young Infrastructure Advisors, LLC
Ernst & Young LLP;4.	Ernst & Young Investment Advisers LLP
Ernst & Young LLP;5.	Ernst & Young Product Sales LLC
Ernst & Young LLP;6.	Ernst & Young Puerto Rico LLC
Ernst & Young LLP;7.	The Parthenon Group LLC
ERT;eResearchTechnology, Inc.
ESET, LLC;Missing
Esker, Inc.;TermSync, Inc.
Esri;Missing
Etix, Inc.;Missing
Etleap;Missing
Etouches;Missing
EtQ Management Consultants, Inc.;Missing
eTrigue Corporation;Missing
Euclid Analytics;Euclid Analytics, Inc.
Euclid Analytics;Euclid Europe Limited
Eventbrite, Inc.;Eventbrite, Inc.
Everbridge, Inc.;Everbridge, Inc.
Everbrite LLC;Everbrite Electronics
Everbrite LLC;Everbrite West, LLC
Everbrite LLC;Fluoresco Services, LLC
Everbrite LLC;Mount Vernon Neon
Everest Clinical Research Corporation;Missing
Evergage;Missing
eVerge Group, LLC;Missing
EVERI Holding Inc;EVERI Payments Inc
Everwise Corporation;Missing
Everyone Counts;Missing
Evocatus, Inc. d/b/a SnapHop;Missing
Evolver, Inc.;Missing
ExamSoft Worldwide, Inc.;Missing
ExaVault, Inc.;EVBackup
Excerpta Medica;Missing
Exclusive Resorts, LLC;Exclusive Resorts Club Management, LLC
Exclusive Resorts, LLC;FDL Event Management, LLC
Exclusive Resorts, LLC;Gateway, LLC
Exclusive Resorts, LLC;Three Leaf Villas, LLC
Exco InTouch Inc;Exco InTouch Inc
Exiger LLC and Exiger Diligence, Inc.;Missing
EXP Systems LLC;Missing
Expected Behavior;Missing
Expedient;Missing
Expensify, Inc.;Missing
Experticity, Inc.;Missing
Experts Exchange, LLC;Missing
Expertus Inc;Missing
Explain Everything, Inc.;EE Discover, Inc.
Explain Everything, Inc.;Explain Everything Sales, Inc.
Exponential;Missing
Extole, Inc.;Missing
Eze Castle Integration, Inc.;Missing
EZFacility;Missing
Facebook, Inc.;Missing
Factual, Inc.;Missing
Fair Isaac Corporation, dba FICO;Infoglide Software Corporation (Delaware)
FARIA SYSTEMS INC;FARIA SYSTEMS LLC
FARO Techologies, Inc.;FARO Technologies, Inc. and all US Subsidiaries
Fastly, Inc.;Missing
FCA US LLC;FCA US LLC
Federal-Mogul Corporation;Federal-Mogul Motorparts Corporation
Fellowes, Inc.;Fellowes Trading Company
Fidelity Information Services (FIS);Fidelity Information Services LLC
Fidelity Information Services (FIS);FIS AvantGard LLC
Fidelity Information Services (FIS);FIS Financial Systems LLC
Fidelity Information Services (FIS);The Capital Markets Company BVBA
Fidelity Information Services (FIS);WildCard Systems, Inc.
Fiducia Global Solutions LLC;Missing
Filestack, Inc.;Missing
Finsight Group, Inc.;Missing
Fireeye, Inc.;FireEye International, LLC
First Advantage Corporation;First Advantage Background Services Corp.
First Advantage Corporation;First Advantage Backtrack Reports, LLC
First Advantage Corporation;First Advantage Enterprise Screening Corporation
First Advantage Corporation;First Advantage Occupational Health Services Corp.
First Associates Loan Servicing, LLC;Activate Financial, LLC
First Choice Background Screening;Missing
First Orion, Inc.;Privacy Star
FirstKey Mortgage, LLC;Missing
Fitbit, Inc.;Fitbit, Inc.
Fleetsmith;Missing
FleishmanHillard;Missing
Flexera Software;Missing
Flight Centre Travel Group (USA) Inc - Corporate Brands;Campus Travel
Flight Centre Travel Group (USA) Inc - Corporate Brands;cievents
Flight Centre Travel Group (USA) Inc - Corporate Brands;Corporate Traveler
Flight Centre Travel Group (USA) Inc - Corporate Brands;FCM Travel Solutions
Flight Centre Travel Group (USA) Inc - Corporate Brands;Stage and Screen Travel Services
FlightStats, Inc.;Missing
Flow Commerce inc;Flow Commerce inc
FlyData, Inc;Missing
FLYR INC.;Missing
FM:Systems, Inc.;FM:Systems, Inc.
FMYI, Inc.;Missing
FOCUSVISION;Decipher, Inc,; Kinesis Survey Technologies, LLC; Revelation, Inc.
FogLogic;Missing
Food52;Food52, Inc.
Foot Locker, Inc.;Eastbay, Inc.
Foot Locker, Inc.;Foot Locker Corporate Services, Inc.
Foot Locker, Inc.;Foot Locker Retail, Inc.
Foot Locker, Inc.;Footlocker.com, Inc.
Footmarks, Inc.;Footmarks, Inc.
Forbes Media LLC;Missing
Force 5;Missing
Forcepoint LLC;Carnelian LLC
Forcepoint LLC;Forcepoint Federal LLC
Forcepoint LLC;New Websense, Inc.
Forcepoint LLC;PortAuthority Technologies, LLC
Forcepoint LLC;Raytheon Oakley Systems, LLC
Forcepoint LLC;SurfControl, Inc.
Forcepoint LLC;Tomahawk Acquisition, Inc.
Forcepoint LLC;Tomahawk Holdings, Inc
Forcepoint LLC;Websense, LLC
ForeSee Results, Inc.;Missing
Foresight Group International A.G.;Missing
ForeSoft Corp.;BUGtrack
ForeSoft Corp.;CRMdesk
ForeSoft Corp.;dbFLEX
ForeSoft Corp.;TeamDesk
Formsite.com;Missing
Fort Hill Company;Missing
Fossil Group;Fossil Partners, LP
Fossil Group;Misfit, Inc.
Foundation Medicine, Inc.;Missing
Foxpass;Foxpass, Inc.
Fpweb.net;Missing
Franchise World Headquaters, LLC ("FWH");Doctorâs Associates Inc. (âDAIâ)
Franchise World Headquaters, LLC ("FWH");Franchise Brands, LLC
Franchise World Headquaters, LLC ("FWH");Franchisee Shipping Center Co., Inc. (âFSCCâ)
Franchise World Headquaters, LLC ("FWH");FWH Technologies, LLC (âFWHTâ)
Franchise World Headquaters, LLC ("FWH");Subway Franchisee Advertising Fund Trust, Ltd. (âSFAFTâ)
Franchise World Headquaters, LLC ("FWH");Subway IP, Inc. (âSIPâ)
Franchise World Headquaters, LLC ("FWH");Subway Real Estate Corp. (âSRECâ)
Franchise World Headquaters, LLC ("FWH");Subway Real Estate, LLC (âSREâ)
Frank Recruitment Group Inc;Anderson Frank
Frank Recruitment Group Inc;Churchill Frank
Frank Recruitment Group Inc;Frank Recruitment Group Inc
Frank Recruitment Group Inc;FRG Technology Consulting
Frank Recruitment Group Inc;Mason Frank International
Frank Recruitment Group Inc;Nigel Frank International
Frank Recruitment Group Inc;Pearson Frank
Frank Recruitment Group Inc;Washington Frank
Franklin Covey;Franklin Covey Client Sales Inc.
Freeport-McMoRan Inc.;Missing
FreeWheel Media, Inc.;FreeWheel SAS
FrescoData;FrescoData
Freshdesk, Inc.;Missing
Freudenberg IT LP;Freudenberg IT LP,  Morrisville, NC 27560
